Name,Position,Club,Division,Nation,Height,Weight,Age,Preferred_Foot,Best_Pos,Best_Role,Value,Wage,CA,PA,Wor,Vis,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pen,Pas,Pac,v1,OtB,Mar,L_Th,Lon,Ldr,Jum,Hea,Han,Fla,Fir,Fin,Dri,Cro,Cor,Cnt,Cmd,Agi,Agg,Aer,Acc
Eduardo Alcides Dias,"D (RC), DM",Inter,Italian Serie A,BRA,193,74,16,Right,D (C),CD,34000,220,71,121,8,7,7,7,13,5,6,2,3,1,7,13,1,6,9,2,4,9,13,13,2,4,8,6,4,4,6,6,3,13,6,3,13
Eren Dinkci,"M (R), AM (RL), ST (C)",SV Werder,Bundesliga,GER,185,73,17,Right,AM (R),W,90000,110,84,121,9,9,12,8,6,6,9,1,1,5,14,10,1,11,4,5,4,2,11,8,3,11,12,13,11,14,9,3,2,9,12,1,14
Guillaume Gigliotti,D (C),Crotone,Italian Serie A,FRA,184,72,29,Left,D (C),CD,1800000,1200,117,121,13,10,11,15,13,13,14,2,3,10,11,12,1,10,13,9,10,10,13,13,1,8,10,7,7,8,7,12,1,12,13,1,11
Hamadi Al Ghaddioui,ST (C),VfB Stuttgart,Bundesliga,MAR,193,90,28,Right,ST (C),TM,1500000,4200,116,121,14,12,11,16,8,17,14,2,1,14,12,12,1,12,8,5,11,9,16,14,1,10,14,11,10,7,6,13,1,9,14,3,10
Ian Carlo Poveda,AM (RL),Leeds,English Premier Division,ENG,165,58,19,Left,AM (R),IW,650000,4000,101,121,7,11,14,8,11,7,12,4,3,6,9,14,1,7,10,11,12,3,3,10,1,14,11,9,16,10,11,12,2,13,7,2,14
Iker San Vicente,D (C),A. Bilbao,Spanish First Division,ESP,190,81,18,Left Only,D (C),CD,33500,325,70,121,11,8,8,11,11,10,9,2,2,5,9,11,1,5,10,5,6,7,13,12,1,6,10,5,6,5,2,7,1,11,13,3,10
Jacob Wakeling,ST (C),Leicester,English Premier Division,ENG,178,63,17,Right Only,ST (C),AF,13750,325,45,121,4,3,10,3,1,5,7,2,3,3,4,12,1,5,1,1,4,7,3,12,2,13,12,12,12,3,1,3,3,12,4,1,12
Jacopo Desogus,ST (C),Cagliari,Italian Serie A,ITA,175,66,16,Right,ST (C),DLF,27000,220,64,121,9,9,14,7,6,9,9,1,1,4,9,8,1,9,4,6,7,7,6,15,3,12,10,7,12,8,6,5,3,12,11,1,7
Leif Davis,D (LC),Leeds,English Premier Division,ENG,166,55,19,Left,D (L),WB,600000,600,103,121,12,10,9,13,12,10,12,1,2,6,11,13,1,11,12,9,6,5,8,10,1,10,9,6,11,12,10,11,2,13,9,2,12
Luca Ashby-Hammond,GK,Fulham,English Premier Division,ENG,184,76,18,Right,GK,SK,275000,500,95,121,8,8,5,9,1,6,3,11,8,13,8,13,1,3,1,1,1,10,6,1,13,1,3,1,3,1,3,14,8,12,12,13,14
Mario Gila,"D (C), DM",R. Madrid,Spanish First Division,ESP,183,81,18,Right,D (C),CD,210000,1600,98,121,10,10,8,8,14,15,14,4,1,6,8,9,1,6,12,7,9,6,15,15,2,6,7,3,1,8,5,7,2,9,13,3,8
Marley Aké,"AM (L), ST (C)",Juventus,Italian Serie A,FRA,177,72,18,Right,AM (L),IW,245000,4500,84,121,10,9,11,9,4,8,9,2,2,5,10,12,1,11,5,6,9,6,8,10,1,12,11,12,10,9,6,10,3,11,7,2,12
Mateu Morey,D/WB (R),Borussia Dortmund,Bundesliga,ESP,172,69,19,Right Only,WB (R),WB,165000,16500,95,121,11,9,13,12,12,7,12,2,3,7,11,13,1,12,9,12,8,6,6,6,3,13,13,8,12,11,11,8,2,13,12,3,14
Maximilian Beier,"AM (R), ST (C)",TSG Hoffenheim,Bundesliga,GER,183,70,16,Right,ST (C),F9,84000,55,83,121,8,8,10,4,3,6,13,2,3,1,13,11,1,12,2,1,5,8,6,6,1,10,13,8,10,12,9,7,2,10,6,3,13
Nikos Michelis,"D (C), DM, M (C)",Milan,Italian Serie A,GRE,191,71,18,Left Only,D (C),NCB,99000,1000,85,121,8,12,12,10,10,8,11,2,2,8,10,12,1,6,12,8,8,8,15,13,3,7,9,3,10,6,4,11,3,10,7,1,8
Nino Kukovec,ST (C),Fiorentina,Italian Serie A,SVN,190,83,18,Right,ST (C),TM,50000,220,75,121,5,8,8,7,1,11,10,3,1,1,6,11,1,11,5,4,8,3,13,14,2,7,12,12,13,5,5,7,2,10,18,2,11
Ramello Mitchell,"AM (RL), ST (C)",Southampton,English Premier Division,ENG,176,62,16,Right,AM (R),W,46000,120,68,121,7,7,9,6,6,5,4,3,2,5,6,13,1,8,5,5,6,11,6,7,3,7,7,8,9,13,8,4,2,10,7,3,15
Romaric Yapi,D/AM (R),Brighton,English Premier Division,FRA,169,60,18,Right,D (R),WB,230000,450,91,121,11,10,9,8,9,8,12,2,1,1,9,15,1,6,8,4,10,6,8,10,4,6,8,10,9,11,9,11,2,8,8,2,14
Thomas Hill,"M (RC), AM (RL)",Liverpool,English Premier Division,ENG,171,61,16,Right,M (R),DW,43500,120,68,121,9,7,8,8,9,7,14,3,1,6,7,11,1,10,8,7,9,5,5,7,1,12,7,10,9,10,6,9,2,8,13,1,11
Trae Coyle,AM (RLC),Arsenal,English Premier Division,ENG,179,68,18,Right,AM (R),W,300000,3500,90,121,11,11,12,12,6,8,10,1,2,7,9,13,1,12,4,2,10,6,7,5,2,14,8,9,10,10,9,7,2,13,10,3,14
Xavier Simons,"DM, M (C)",Chelsea,English Premier Division,ENG,178,68,16,Right,M (C),CM,0,120,66,121,9,7,10,10,12,10,9,3,1,3,11,13,1,6,8,2,12,8,11,8,3,1,9,6,6,8,8,10,2,7,12,1,10
Ákos Onódi,GK,Aston Villa,English Premier Division,HUN,193,78,17,Right,GK,SK,26000,300,60,120,2,5,2,6,2,6,5,14,9,2,3,10,1,3,1,2,2,4,10,1,9,1,1,1,1,1,5,8,10,16,13,12,13
Aidan Steele,M (C),Crystal Palace,English Premier Division,ENG,182,68,16,Right,M (C),CM,28500,120,60,120,12,14,8,8,9,6,9,3,2,1,9,13,1,9,8,1,9,8,8,4,3,3,8,5,2,2,5,7,2,13,15,2,14
Aitor Gelardo,"DM, M (C)",Villarreal,Spanish First Division,ESP,177,55,17,Right Only,M (C),CM,29500,300,65,120,12,11,11,8,10,5,7,2,3,6,11,14,1,6,8,2,10,1,5,6,4,1,11,7,3,6,6,8,2,14,7,2,14
Alberto Gerbo,"D (R), WB (RL), DM, M (RC)",Crotone,Italian Serie A,ITA,178,74,29,Right,M (R),W,1200000,750,115,120,13,13,12,13,11,11,13,3,2,11,13,13,1,12,12,5,13,10,8,7,3,13,12,7,11,12,8,11,3,12,12,1,12
Andrea Danzi,"DM, M (C)",Verona,Italian Serie A,ITA,175,70,20,Left,DM,DLP,350000,1200,103,120,12,12,13,13,11,10,12,1,1,8,12,11,1,10,12,13,11,9,10,7,3,10,11,8,10,12,10,11,1,11,10,2,11
Andy Lonergan,GK,West Brom,English Premier Division,ENG,193,87,35,Left,GK,G,140000,17750,102,120,11,3,5,12,2,12,9,6,13,2,4,5,1,2,1,2,3,9,13,5,15,5,4,2,2,2,7,14,13,11,5,13,4
Antef Tsoungui,"D (C), DM",Brighton,English Premier Division,BEL,183,71,16,Right,D (C),CD,125000,120,74,120,11,9,9,10,8,10,11,3,1,6,9,13,1,6,8,6,7,12,10,8,2,1,8,5,8,10,9,9,3,9,7,2,14
Antonio Jesús,"DM, M/AM (C)",Barcelona,Spanish First Division,ESP,181,66,18,Right,M (C),AP,115000,475,85,120,10,11,12,11,8,10,13,1,1,8,12,11,1,11,6,6,11,6,10,9,1,14,12,10,11,10,8,9,3,12,9,2,10
Antonio Mazzotta,D/WB/M (L),Crotone,Italian Serie A,ITA,183,73,29,Left,D (L),FB,1800000,7250,118,120,14,10,12,13,12,13,13,1,2,7,12,14,1,10,11,10,10,11,11,10,2,6,12,6,12,14,12,13,2,12,12,2,14
Bruno,"M (RL), AM (RLC)",Olympiakos,Spanish First Division,BRA,179,75,25,Right,AM (L),IW,1200000,3000,110,120,11,14,14,12,8,10,11,3,1,8,14,13,1,12,8,7,9,7,10,8,3,13,13,8,13,10,9,8,2,13,6,1,14
Christian Dalle Mura,D (C),Fiorentina,Italian Serie A,ITA,190,78,17,Right,D (C),CD,24500,220,64,120,6,3,3,5,10,6,3,1,2,1,6,7,1,5,13,1,5,1,14,12,1,1,6,1,1,2,3,10,1,7,9,2,8
Christopher Lenz,D/WB (L),Union Berlin,Bundesliga,GER,180,70,24,Left,D (L),FB,275000,5250,105,120,14,11,11,14,12,11,14,3,3,9,11,11,1,10,11,12,9,9,10,10,3,7,11,8,10,9,9,13,3,11,12,2,12
Ebrima Darboe,DM,Roma,Italian Serie A,GAM,171,66,18,Either,DM,BWM,71000,220,75,120,8,11,13,7,12,7,5,3,1,1,10,13,1,6,7,1,9,11,5,6,1,1,11,3,6,6,3,6,2,12,13,2,13
Edoardo Bove,"DM, M (C)",Roma,Italian Serie A,ITA,170,55,17,Right,M (C),CM,36000,220,74,120,11,13,12,7,13,1,7,4,2,5,13,9,1,8,8,3,8,4,1,3,4,3,11,11,6,6,2,8,2,10,15,2,13
Emanuele Torrasi,"DM, M (C)",Milan,Italian Serie A,ITA,180,74,20,Right,M (C),MEZ,170000,500,91,120,10,12,13,11,9,9,10,1,3,9,12,13,1,11,9,7,12,9,11,11,1,7,9,5,10,11,4,11,1,14,9,2,14
Emmanuel Gyasi,AM (L),Spezia,Italian Serie A,GHA,182,74,25,Right,AM (L),IW,1200000,950,114,120,12,12,12,13,9,12,14,1,3,12,12,13,1,12,6,7,11,10,9,10,3,11,12,11,13,10,8,11,2,13,10,1,13
Ensar Aksakal,M/AM (LC),Union Berlin,Bundesliga,GER,174,63,17,Right,AM (L),IW,65000,100,80,120,12,7,11,8,9,5,7,1,2,6,10,13,1,12,4,7,5,11,6,6,3,10,14,8,9,7,5,7,3,12,7,2,14
Filippo Tripi,"DM, M (C)",Roma,Italian Serie A,ITA,175,57,17,Right,M (C),CM,24000,220,65,120,9,10,13,6,12,4,8,2,1,2,8,13,1,1,8,3,8,5,8,4,1,1,9,6,6,3,5,4,3,13,9,3,11
Francesco Toffanin,AM (C),Milan,Italian Serie A,ITA,180,65,16,Right,AM (C),AP,18000,220,58,120,11,12,10,8,4,6,7,3,1,1,14,11,1,7,4,3,10,7,8,6,3,9,14,5,8,5,6,3,3,8,12,2,14
Gabri Veiga,AM (C),Vigo,Spanish First Division,ESP,181,70,17,Right,AM (C),AP,180000,1200,92,120,13,14,14,9,9,6,10,2,2,5,8,12,1,10,7,7,12,11,6,5,3,13,14,10,10,5,8,4,3,11,12,2,14
Iván Muñoz,D (C),Valencia,Spanish First Division,ESP,182,74,17,Right Only,D (C),CD,32500,325,69,120,7,6,6,6,10,7,5,2,3,3,6,9,1,3,14,1,4,7,8,14,1,1,7,1,1,4,3,5,2,11,19,2,8
Jacopo Da Riva,"M (LC), AM (C)",Atalanta,Italian Serie A,ITA,187,79,18,Either,M (C),DLP,120000,1000,85,120,13,10,14,8,8,6,14,4,1,5,9,9,1,5,6,1,9,10,13,7,1,13,13,9,9,8,7,6,1,9,13,1,7
Javi López,"M (RC), AM (R)",Pontevedra,Spanish First Division,ESP,178,69,31,Right Only,AM (R),W,195000,2900,105,120,11,12,14,12,8,9,9,1,3,11,12,12,1,12,8,5,11,9,8,9,4,14,12,11,14,11,14,12,3,13,8,4,11
Jean-Lambert Evan's,D/WB/M (L),Crotone,Italian Serie A,FRA,182,72,20,Left,M (L),W,155000,1000,96,120,10,12,12,9,9,11,12,3,2,6,10,13,1,13,9,6,5,6,9,6,1,12,10,8,13,12,9,8,3,13,8,3,13
José Antonio Caro,D (RC),Albacete,Spanish First Division,ESP,182,77,26,Right Only,D (R),FB,300000,2100,106,120,13,7,10,12,14,13,13,1,3,7,11,12,1,10,13,7,7,11,13,12,2,11,10,5,7,11,5,13,3,9,11,3,12
José Martínez,D (LC),Barcelona,Spanish First Division,ESP,181,65,17,Left Only,D (L),FB,61000,475,90,120,10,10,11,11,13,11,11,3,2,5,11,14,1,7,12,9,6,6,11,11,2,11,11,6,8,10,5,10,1,11,13,2,13
Julian Albrecht,"DM, M/AM (C)",Hertha Berlin,Bundesliga,GER,180,68,17,Right,M (C),CAR,86000,1700,84,120,13,14,10,8,10,6,12,1,1,2,14,14,1,4,8,3,11,5,10,7,3,9,13,9,9,3,7,7,2,13,4,3,10
Kristian Sekularac,AM (LC),Juventus,Italian Serie A,SUI,185,65,15,Right,AM (L),IW,30000,220,60,120,10,6,7,7,6,3,6,1,1,4,12,13,1,11,5,5,7,6,8,5,1,7,12,7,12,7,5,5,2,10,8,3,12
Kyle Edwards,"M (C), AM (RLC)",West Brom,English Premier Division,ENG,173,62,21,Right,AM (L),IW,650000,700,105,120,12,10,12,8,6,6,13,1,2,4,8,14,1,7,9,10,11,13,7,7,2,14,10,12,14,11,8,8,2,11,9,3,15
Kyle Scott,"DM, M/AM (C)",Newcastle,English Premier Division,USA,172,61,21,Right,M (C),AP,215000,5000,93,120,11,14,13,8,10,7,8,3,4,4,12,13,1,6,6,4,10,9,4,4,3,14,12,8,12,9,10,7,1,14,10,2,11
Lautaro De León,ST (C),Vigo,Spanish First Division,URU,186,76,18,Right,ST (C),P,180000,1200,92,120,9,8,11,7,1,6,8,2,3,5,9,13,1,11,5,5,9,3,11,13,1,10,14,14,13,9,7,6,1,14,7,1,14
Lirim Kastrati,"D (RC), WB (R)",Bologna,Italian Serie A,KVX,165,56,20,Right,D (R),FB,72000,700,82,120,9,9,9,9,15,1,9,2,1,5,10,10,1,8,11,8,6,7,4,9,4,1,10,5,6,7,6,9,1,11,7,1,13
Lorenzo Petronelli,ST (C),Fiorentina,Italian Serie A,ITA,176,63,16,Right Only,ST (C),P,15000,220,55,120,6,4,8,5,1,7,5,3,3,3,6,13,1,11,5,1,1,6,8,13,3,11,12,13,13,6,5,2,2,13,10,1,13
Luciano Pisapia,"DM, M (C)",Juventus,Italian Serie A,ITA,179,65,16,Right Only,M (C),CM,20000,220,59,120,10,13,13,7,11,4,6,2,2,4,8,13,1,2,6,5,5,5,8,5,1,2,13,4,3,5,5,5,1,13,12,3,13
Manny,D/WB/M (L),Vigo,Spanish First Division,DOM,176,70,21,Left Only,M (L),W,210000,1400,95,120,10,9,13,9,9,9,14,3,1,2,9,14,1,9,9,8,4,11,8,8,3,6,8,4,10,13,10,10,3,12,7,1,14
Manuel Prietl,"DM, M/AM (C)",Arminia Bielefeld,Bundesliga,AUT,187,79,27,Right,DM,BWM,2000000,3900,120,120,16,11,12,15,16,14,16,1,1,8,13,11,1,10,13,5,7,10,14,12,1,7,10,7,9,10,8,14,1,11,14,3,9
Mattia Mustacchio,WB/M/AM (R),Crotone,Italian Serie A,ITA,182,78,30,Right Only,M (R),W,1200000,5000,114,120,17,10,9,12,10,12,13,2,2,6,12,15,1,13,10,16,10,5,12,12,2,11,11,11,11,12,9,13,1,13,11,2,13
Nicolò Del Fabro,M (C),Udinese,Italian Serie A,ITA,177,64,17,Right Only,M (C),CM,14250,220,55,120,7,13,11,4,7,3,6,3,2,1,13,13,1,5,7,2,7,1,5,3,1,5,13,5,7,5,5,6,2,13,14,1,10
Nicolò Verzeni,"D/WB (R), M (RC)",Inter,Italian Serie A,ITA,172,63,17,Right,M (C),CM,30500,220,66,120,9,5,10,8,9,5,8,2,1,5,11,14,1,5,5,7,5,10,9,7,3,1,12,7,8,9,6,9,3,12,12,3,9
Paolo De Simone,ST (C),Napoli,Italian Serie A,ITA,183,74,16,Right,ST (C),P,22500,220,60,120,5,5,12,4,1,12,7,2,2,5,5,11,1,12,2,1,2,7,8,12,3,13,12,12,7,2,4,3,2,9,6,4,12
Pietro Grassi,D (C),Milan,Italian Serie A,ITA,187,73,17,Right,D (C),CD,14750,220,57,120,6,5,5,5,9,6,4,2,3,1,2,13,1,2,12,1,1,4,10,11,3,1,2,1,1,1,3,8,2,12,5,1,10
Rafa Navarro,D (R),Alavés,Spanish First Division,ESP,173,61,25,Right,D (R),WB,675000,4400,117,120,13,12,12,12,12,11,14,2,3,10,11,13,1,12,12,12,12,10,10,10,2,10,11,7,12,12,10,10,3,13,11,1,14
Rafal Gikiewicz,GK,FC Augsburg,Bundesliga,POL,190,81,31,Right,GK,SK,1600000,30000,120,120,12,10,11,8,2,13,12,16,16,3,12,10,1,3,3,3,1,9,16,1,12,1,10,1,3,3,6,10,13,13,6,15,10
Reagan Thomson,M (C),Newcastle,English Premier Division,SCO,173,55,15,Left,M (C),CAR,28500,120,60,120,9,8,9,7,8,5,13,2,1,2,9,14,1,6,8,1,8,7,6,6,2,8,11,8,4,1,3,3,3,14,6,3,14
Salvatore Molina,"M (RLC), AM (RL)",Crotone,Italian Serie A,ITA,177,74,27,Right,M (R),W,725000,2600,115,120,12,11,12,12,12,10,14,2,3,8,12,12,1,14,10,11,11,9,10,9,3,11,10,7,12,12,9,12,2,13,11,3,14
Seb Revan,D (LC),Aston Villa,English Premier Division,ENG,180,67,16,Left,D (L),FB,12750,120,50,120,6,5,6,6,12,7,5,3,1,5,6,12,1,4,13,5,5,11,6,10,2,1,7,1,1,4,2,5,2,7,6,1,13
Son,D/WB/M/AM (R),Levante,Spanish First Division,ESP,178,70,25,Right,D (R),WB,650000,22000,115,120,12,12,13,11,9,10,13,2,3,10,11,13,1,12,9,5,8,14,9,7,2,16,12,9,13,12,10,11,1,12,11,3,14
Soufiane Bidaoui,AM (RL),Spezia,Italian Serie A,MAR,176,65,29,Right,AM (L),IW,925000,3400,111,120,11,12,13,9,8,9,12,1,1,8,12,13,1,14,5,8,10,5,8,6,1,12,14,9,13,12,12,12,1,14,13,3,13
Stefan Rankic,"D (C), DM",Union Berlin,Bundesliga,BIH,189,79,18,Right Only,D (C),CD,58000,350,80,120,10,7,9,7,11,8,7,2,2,2,10,10,1,8,15,3,8,4,12,15,4,1,10,2,4,8,7,9,2,12,11,3,8
Tekio,D/WB (R),Elche,Spanish First Division,ESP,175,72,28,Right,D (R),WB,525000,2600,113,120,18,9,6,16,12,11,16,3,2,6,7,13,1,11,12,11,7,11,8,8,2,4,10,6,10,10,6,12,1,13,12,2,13
George Nunn,"AM (RL), ST (C)",Chelsea,English Premier Division,IRL,186,74,17,Left,ST (C),PF,0,1700,73,120,10,7,7,9,10,6,9,1,4,5,6,15,1,7,6,3,8,3,11,8,2,6,7,10,6,7,8,10,1,7,6,3,13
Adrien Koudelka,D (C),FC Augsburg,Bundesliga,GER,192,78,17,Right Only,D (C),CD,52000,55,68,119,7,4,3,6,14,7,5,3,2,4,7,13,1,5,14,1,4,4,11,13,1,1,7,1,4,6,6,7,3,11,9,3,14
Albi Hanxhari,"DM, M (C)",Genoa,Italian Serie A,ALB,184,66,15,Right,M (C),CM,40000,220,68,119,12,9,11,8,11,6,11,3,1,5,13,12,1,5,6,5,8,1,11,6,1,1,14,7,4,6,6,6,1,11,10,3,13
Ali Loune,"D/WB (L), DM, M (LC)",Eintracht Frankfurt,Bundesliga,MAR,180,69,17,Left Only,DM,DLP,59000,55,79,119,9,9,11,8,12,6,8,2,3,3,10,14,1,8,6,3,8,9,9,7,1,1,10,8,8,8,4,5,2,14,8,2,14
Andrea Viviani,"DM, M (C)",Atalanta,Italian Serie A,ITA,177,67,17,Right,M (C),CM,38000,220,70,119,7,5,11,8,12,7,8,1,3,3,14,13,1,8,6,7,8,5,5,7,3,3,13,6,4,4,7,7,1,14,7,3,14
Aniello Ciaravolo,D (RC),Benevento,Italian Serie A,ITA,191,74,16,Right Only,D (C),CD,10750,220,47,119,6,4,1,5,9,5,10,2,1,5,6,13,1,2,6,4,5,2,13,11,3,1,4,5,1,1,4,5,2,11,8,3,11
Brandon Aveiro,AM (RLC),Crystal Palace,English Premier Division,POR,183,69,17,Either,AM (C),SS,40000,500,65,119,7,8,10,6,5,3,8,2,3,1,8,10,1,9,4,1,7,11,8,2,1,10,12,7,13,10,6,6,1,8,7,2,12
Cem Türkmen,"DM, M/AM (C)",Bayer 04,Bundesliga,TUR,173,65,17,Right Only,M (C),DLP,80000,55,83,119,13,13,14,9,15,7,9,3,2,4,13,10,1,10,9,2,8,10,8,8,2,12,15,10,9,6,8,9,1,12,10,1,9
Christian Celesia,D (LC),Torino,Italian Serie A,ITA,180,68,17,Left Only,D (L),NFB,7750,220,51,119,6,4,5,6,10,5,6,1,3,1,6,10,1,3,5,5,2,1,7,11,2,1,7,4,5,1,5,4,1,12,14,4,13
Christopher Trimmel,D/WB (R),Union Berlin,Bundesliga,AUT,189,80,32,Right,D (R),FB,925000,10250,118,119,16,8,8,13,12,13,16,3,1,9,10,14,1,10,11,14,11,13,14,13,1,9,8,10,9,13,9,14,1,10,13,3,13
Daniele Ghilardi,D (C),Fiorentina,Italian Serie A,ITA,179,64,16,Right Only,D (C),CD,13500,220,58,119,7,6,2,6,6,5,5,2,2,2,7,14,1,3,6,1,5,7,6,13,1,1,6,1,1,1,3,6,2,14,12,2,14
Davide Acampa,"AM (R), ST (C)",Napoli,Italian Serie A,ITA,178,63,16,Left,AM (R),IW,22500,220,60,119,7,9,13,6,4,3,7,3,4,3,9,9,1,6,5,2,4,10,5,7,3,13,10,9,11,12,9,1,1,11,11,3,13
Filippo Matteo Mancuso Catarinella,"AM (C), ST (C)",Bologna,Italian Serie A,ITA,182,69,18,Right Only,ST (C),AF,27000,220,64,119,8,11,12,6,3,4,6,3,2,6,8,13,1,9,6,3,8,1,6,11,2,11,13,11,12,6,6,7,4,12,11,2,14
Finlay Armstrong,D (L),Burnley,English Premier Division,ENG,186,68,16,Left,D (L),FB,23000,120,58,119,10,6,6,7,12,8,10,2,3,5,8,11,1,7,11,6,3,5,9,8,3,6,9,4,7,8,3,10,3,7,5,2,9
Francesco Paolo Cusumano,D (C),Cagliari,Italian Serie A,ITA,191,88,18,Right Only,D (C),CD,12500,220,52,119,8,1,7,7,10,9,6,1,1,2,8,8,1,4,7,1,4,10,14,11,3,1,7,1,1,2,5,8,2,5,8,3,7
Gabriel Pereira,GK,Lazio,Italian Serie A,BRA,195,77,16,Right,GK,SK,19500,550,60,119,4,4,1,5,1,5,1,12,12,2,11,7,1,2,3,3,2,7,15,1,12,3,3,3,1,1,2,9,12,6,13,12,11
Giacomo Gasco,D/WB (R),Genoa,Italian Serie A,ITA,176,70,18,Right Only,D (R),WB,72000,220,85,119,11,9,13,10,13,11,11,1,3,5,12,12,1,10,12,10,12,9,9,9,2,12,11,7,11,12,10,10,3,13,10,1,13
Giuseppe Carrà,ST (C),Atalanta,Italian Serie A,ITA,184,73,17,Right,ST (C),TM,36000,220,70,119,8,10,8,9,6,8,8,2,1,9,8,10,1,10,5,5,8,6,13,12,2,10,8,10,8,8,8,9,3,9,7,2,10
Harrison Sohna,M (C),Aston Villa,English Premier Division,ENG,180,63,16,Right,M (C),CM,36000,120,65,119,11,14,10,8,9,6,9,3,2,3,10,13,1,4,9,6,6,13,10,6,1,3,10,8,7,7,8,6,3,12,10,2,11
Henoc N'Gbesso,"AM (RL), ST (C)",Milan,Italian Serie A,ITA,182,65,16,Right,AM (R),W,13000,220,55,119,7,4,9,6,3,4,6,2,2,1,12,12,1,7,4,2,5,9,10,7,3,14,6,8,12,13,9,3,1,13,8,3,13
Jack McIntyre,GK,Everton,English Premier Division,ENG,175,61,16,Right,GK,SK,25500,120,62,119,4,4,1,5,2,3,1,13,12,3,10,11,1,2,2,2,3,1,2,1,8,2,1,3,1,1,6,10,8,15,5,5,11
Jimmy Kaparos,"DM, M (C)",Schalke 04,Bundesliga,NED,185,73,17,Right,DM,DLP,59000,100,79,119,13,14,11,9,12,6,8,1,3,3,9,13,1,9,7,7,8,3,10,8,3,2,15,8,4,8,8,9,1,12,8,1,13
Kameron Ledwidge,"D (LC), WB (L)",Southampton,English Premier Division,IRL,180,75,18,Left,D (L),FB,42500,500,70,119,10,8,10,9,8,12,10,1,2,4,7,14,1,8,7,4,5,11,11,10,1,1,8,1,4,5,7,8,3,12,9,3,15
Lenn Jastremski,"AM (RL), ST (C)",FC Bayern,Bundesliga,GER,190,79,18,Right,ST (C),AF,135000,1100,83,119,8,6,13,4,1,6,6,2,1,3,13,11,1,10,4,1,5,10,14,11,2,13,13,12,12,12,10,7,1,10,5,1,13
Leon Gädicke,D (R),Bayer 04,Bundesliga,GER,175,68,17,Right Only,D (R),FB,77000,100,84,119,10,10,11,10,14,8,9,1,2,1,11,12,1,6,11,6,4,10,10,10,2,6,11,8,9,6,7,12,1,13,12,2,15
Liam Smith,D/WB (RL),Dundee Utd,English Premier Division,SCO,173,69,23,Right,D (R),WB,160000,1200,104,119,13,11,12,13,11,9,13,3,2,6,12,12,1,13,12,8,9,11,7,9,2,7,12,8,12,13,5,11,3,10,9,2,13
Lloyd-Addo Kuffour,D (LC),Borussia Dortmund,Bundesliga,GER,177,70,17,Left Only,D (L),FB,45500,55,75,119,10,8,9,9,12,8,10,1,2,2,10,11,1,7,12,8,5,5,6,9,1,1,10,5,7,4,7,9,2,12,12,2,15
Lukas Schneller,GK,FC Bayern,Bundesliga,GER,185,73,17,Right,GK,G,47000,110,79,119,4,6,3,7,3,6,1,13,13,1,5,11,1,1,1,1,3,10,8,1,13,3,1,1,1,1,5,9,9,15,4,11,13
Maciej Mas,ST (C),Cagliari,Italian Serie A,POL,191,80,18,Right,ST (C),AF,30500,0,83,119,9,9,11,7,4,14,8,3,3,4,9,11,1,15,6,7,9,7,14,12,3,9,13,9,14,7,4,9,2,11,7,1,8
Maik Amedick,"DM, M (C)",Borussia Dortmund,Bundesliga,GER,181,71,17,Right Only,DM,DLP,61000,55,80,119,8,15,12,9,11,8,8,1,2,5,11,14,1,8,12,7,8,5,7,8,1,1,12,4,6,4,8,8,2,11,14,2,14
Maksymilian Boruc,GK,West Brom,English Premier Division,POL,189,75,16,Right,GK,G,30000,120,65,119,5,5,4,6,3,5,4,12,12,1,7,9,1,3,1,1,3,7,10,1,13,2,1,1,2,1,2,7,10,8,5,13,10
Mamadou Mbaye,D (C),Cádiz,Spanish First Division,SEN,194,89,20,Left,D (C),NCB,110000,700,87,119,9,7,11,8,13,13,9,3,1,1,9,12,1,8,10,5,4,8,17,10,2,12,9,3,7,4,6,7,4,11,11,2,10
Manuel Polster,"AM (L), ST (C)",VfL Wolfsburg,Bundesliga,AUT,178,63,16,Left,AM (L),W,26000,55,81,119,8,8,8,6,5,4,9,2,3,6,10,10,1,10,5,3,6,9,9,13,1,8,12,13,13,12,7,5,3,13,6,1,13
Marco Diliberto,M/AM (L),A. Bilbao,Spanish First Division,ESP,176,67,18,Left Only,AM (L),W,56000,425,75,119,11,8,14,10,10,6,10,3,2,6,11,11,1,13,5,8,8,1,8,8,1,12,10,9,7,15,10,8,2,12,10,3,12
Matteo Brunori,ST (C),Juventus,Italian Serie A,ITA,180,76,24,Right,ST (C),PF,925000,4300,111,119,15,8,13,11,10,12,15,3,1,14,10,12,1,10,6,10,11,9,10,9,2,9,11,14,12,10,4,12,3,13,15,3,12
Matteo Lovato,D (C),Verona,Italian Serie A,ITA,189,79,19,Right,D (C),CD,190000,1100,91,119,10,9,4,9,13,9,11,4,3,3,10,13,1,7,15,5,7,4,13,12,3,2,8,5,5,4,7,8,3,9,8,2,9
Matthew Hoppe,ST (C),Schalke 04,Bundesliga,USA,184,73,18,Right,ST (C),P,52000,375,79,119,7,7,12,6,3,7,8,3,3,4,5,13,1,13,6,2,7,3,8,13,1,14,13,13,11,6,6,7,2,10,4,2,13
